STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTS,clean-income-data_Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
"24","510","250600","24510250600",1400000US24510250600,"2506",Census Tract 2506,G5020,S,"5660512","9589221","+39.2368421","-076.5748320",3,"-",**,"11","11"
"24","510","260101","24510260101",1400000US24510260101,"2601.01",Census Tract 2601.01,G5020,S,"1635742","0","+39.3438880","-076.5353622",12,"68052","12729","1926","178"
"24","510","260102","24510260102",1400000US24510260102,"2601.02",Census Tract 2601.02,G5020,S,"1451520","0","+39.3349700","-076.5404207",12,"64446","15993","1911","181"
"24","510","260201","24510260201",1400000US24510260201,"2602.01",Census Tract 2602.01,G5020,S,"1648547","0","+39.3295860","-076.5500474",22,"49574","6355","2413","368"
"24","510","280401","24510280401",1400000US24510280401,"2804.01",Census Tract 2804.01,G5020,S,"1645634","0","+39.2970477","-076.7022192",8,"58988","8524","1486","209"
"24","510","280403","24510280403",1400000US24510280403,"2804.03",Census Tract 2804.03,G5020,S,"1831350","0","+39.2859905","-076.7033384",19,"51728","8064","1864","154"
"24","510","280404","24510280404",1400000US24510280404,"2804.04",Census Tract 2804.04,G5020,S,"848958","0","+39.2878046","-076.6917566",10,"40156","19803","1131","121"
"24","510","080101","24510080101",1400000US24510080101,"801.01",Census Tract 801.01,G5020,S,"2323952","1899","+39.3228490","-076.5790240",21,"72694","18042","1393","194"
"24","510","080102","24510080102",1400000US24510080102,"801.02",Census Tract 801.02,G5020,S,"365633","0","+39.3170456","-076.5758920",11,"30440","10664","663","127"
"24","510","080200","24510080200",1400000US24510080200,"802",Census Tract 802,G5020,S,"856268","0","+39.3119650","-076.5816166",17,"48631","7101","348","57"
"24","510","080302","24510080302",1400000US24510080302,"803.02",Census Tract 803.02,G5020,S,"439533","0","+39.3059215","-076.5764340",9,"45727","14330","902","130"
"24","510","080400","24510080400",1400000US24510080400,"804",Census Tract 804,G5020,S,"250976","0","+39.3056714","-076.5861659",4,"36029","20897","456","110"
"24","510","080500","24510080500",1400000US24510080500,"805",Census Tract 805,G5020,S,"348376","0","+39.3141597","-076.5938464",7,"25529","19043","527","115"
"24","510","080600","24510080600",1400000US24510080600,"806",Census Tract 806,G5020,S,"336416","0","+39.3104188","-076.5934776",6,"37596","11062","591","89"
"24","510","090100","24510090100",1400000US24510090100,"901",Census Tract 901,G5020,S,"657875","0","+39.3369651","-076.6036954",13,"59701","7650","1639","221"
"24","510","120202","24510120202",1400000US24510120202,"1202.02",Census Tract 1202.02,G5020,S,"981794","0","+39.3286922","-076.6194426",13,"28352","8683","1592","218"
"24","510","272005","24510272005",1400000US24510272005,"2720.05",Census Tract 2720.05,G5020,S,"927829","0","+39.3686872","-076.7010065",6,"71451","12363","1239","152"
"24","510","120201","24510120201",1400000US24510120201,"1202.01",Census Tract 1202.01,G5020,S,"348020","0","+39.3279849","-076.6118803",10,"102083","31024","875","124"
"24","510","272004","24510272004",1400000US24510272004,"2720.04",Census Tract 2720.04,G5020,S,"708925","0","+39.3686120","-076.6890444",9,"72558","11069","1774","168"
"24","510","272006","24510272006",1400000US24510272006,"2720.06",Census Tract 2720.06,G5020,S,"736776","0","+39.3566463","-076.6965328",10,"41394","7965","1593","119"
"24","510","280500","24510280500",1400000US24510280500,"2805",Census Tract 2805,G5020,S,"923979","0","+39.2951239","-076.6029382",25,"13036","7049","891","91"
"24","510","260202","24510260202",1400000US24510260202,"2602.02",Census Tract 2602.02,G5020,S,"1044018","1618","+39.3252333","-076.5566614",17,"37273","19957","2805","463"
"24","510","260203","24510260203",1400000US24510260203,"2602.03",Census Tract 2602.03,G5020,S,"853290","0","+39.3226431","-076.5436195",20,"62107","21612","1019","120"
"24","510","260301","24510260301",1400000US24510260301,"2603.01",Census Tract 2603.01,G5020,S,"607369","0","+39.3221262","-076.5666573",9,"44297","7268","1403","164"
"24","510","260302","24510260302",1400000US24510260302,"2603.02",Census Tract 2603.02,G5020,S,"896864","0","+39.3170679","-076.5644287",11,"51484","16437","2526","221"
"24","510","260303","24510260303",1400000US24510260303,"2603.03",Census Tract 2603.03,G5020,S,"1218862","0","+39.3125925","-076.5604701",11,"51932","45812","717","252"
"24","510","260401","24510260401",1400000US24510260401,"2604.01",Census Tract 2604.01,G5020,S,"1341147","0","+39.3062321","-076.5527959",15,"40298","17558","1049","127"
"24","510","090200","24510090200",1400000US24510090200,"902",Census Tract 902,G5020,S,"1738449","288605","+39.3341698","-076.5855612",14,"91083","13542","1338","194"
"24","510","090300","24510090300",1400000US24510090300,"903",Census Tract 903,G5020,S,"793221","0","+39.3312288","-076.6023893",18,"63371","18894","2075","394"
"24","510","090400","24510090400",1400000US24510090400,"904",Census Tract 904,G5020,S,"352240","0","+39.3227817","-076.6064912",3,"36680","15765","617","140"
"24","510","090500","24510090500",1400000US24510090500,"905",Census Tract 905,G5020,S,"741595","0","+39.3249389","-076.6012005",17,"55500","9981","570","92"
"24","510","090600","24510090600",1400000US24510090600,"906",Census Tract 906,G5020,S,"397270","0","+39.3254965","-076.5902057",7,"58897","16910","833","169"
"24","510","090700","24510090700",1400000US24510090700,"907",Census Tract 907,G5020,S,"435082","0","+39.3209223","-076.5956215",7,"36859","14780","960","166"
"24","510","260403","24510260403",1400000US24510260403,"2604.03",Census Tract 2604.03,G5020,S,"1706884","0","+39.3148057","-076.5350451",13,"50962","18759","772","147"
"24","510","260402","24510260402",1400000US24510260402,"2604.02",Census Tract 2604.02,G5020,S,"1338498","0","+39.3168618","-076.5412760",11,"43882","10708","1271","175"
"24","510","260404","24510260404",1400000US24510260404,"2604.04",Census Tract 2604.04,G5020,S,"4467107","0","+39.3000662","-076.5528630",26,"33750","26924","440","115"
"24","510","260501","24510260501",1400000US24510260501,"2605.01",Census Tract 2605.01,G5020,S,"3217418","3813","+39.2883470","-076.5423935",31,"74403","15231","1629","111"
"24","510","090800","24510090800",1400000US24510090800,"908",Census Tract 908,G5020,S,"846055","0","+39.3155244","-076.6036910",25,"29574","10822","855","170"
"24","510","100200","24510100200",1400000US24510100200,"1002",Census Tract 1002,G5020,S,"304692","0","+39.2998552","-076.6022617",15,"22529","4945","1048","192"
"24","510","100300","24510100300",1400000US24510100300,"1003",Census Tract 1003,G5020,S,"156309","0","+39.2995112","-076.6091250",1,"-",**,"0","13"
"24","510","110100","24510110100",1400000US24510110100,"1101",Census Tract 1101,G5020,S,"313921","0","+39.3002458","-076.6128641",13,"61103","9673","1924","263"
"24","510","110200","24510110200",1400000US24510110200,"1102",Census Tract 1102,G5020,S,"720072","0","+39.3014588","-076.6175056",28,"70919","6597","4113","484"
"24","510","120100","24510120100",1400000US24510120100,"1201",Census Tract 1201,G5020,S,"1036127","0","+39.3365253","-076.6165092",14,"94236","33381","2442","364"
