DP05_0001E,DP05_0077PE,GEO_ID
Estimate!!SEX AND AGE!!Total population,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,id
1663,66.6,1400000US13067030220
5993,75,1400000US13067030222
6239,48.7,1400000US13067030223
6508,57.6,1400000US13067030224
11024,46.3,1400000US13067030226
8236,56.7,1400000US13067030227
7363,57.4,1400000US13067030228
6819,65.3,1400000US13067030229
13473,55.4,1400000US13067030230
8329,78.3,1400000US13067030231
6472,50.8,1400000US13067030232
4631,59.8,1400000US13067030233
6630,69.5,1400000US13067030234
4948,71.3,1400000US13067030235
4804,85.2,1400000US13067030236
6741,77.9,1400000US13067030238
7819,85.1,1400000US13067030239
8212,67.3,1400000US13067030310
5991,80.5,1400000US13067030311
6804,71.4,1400000US13067030312
8998,60,1400000US13067030313
7928,72.1,1400000US13067030314
7680,82.4,1400000US13067030318
4603,76.5,1400000US13067030319
7542,63.8,1400000US13067030320
3510,75.1,1400000US13067030322
3840,69.9,1400000US13067030324
4442,76.2,1400000US13067030326
4981,75.5,1400000US13067030327
6752,78.3,1400000US13067030328
4863,76.5,1400000US13067030329
6396,65.2,1400000US13067030330
5768,81.9,1400000US13067030331
3199,75.1,1400000US13067030332
5997,76.7,1400000US13067030333
3389,79.4,1400000US13067030334
5008,80.3,1400000US13067030335
7165,85.3,1400000US13067030336
4564,83.9,1400000US13067030337
6362,49.6,1400000US13067030339
3987,87.1,1400000US13067030340
4301,77.6,1400000US13067030341
4625,82.7,1400000US13067030342
4455,87.6,1400000US13067030343
3850,19.1,1400000US13067030344
5602,22.7,1400000US13067030345
6449,51.7,1400000US13067030405
4642,70.3,1400000US13067030407
2862,59.1,1400000US13067030408
3184,78,1400000US13067030409
4656,59.3,1400000US13067030410
2206,22.3,1400000US13067030411
5269,38.9,1400000US13067030412
5554,41.7,1400000US13067030413
3389,21.5,1400000US13067030414
7314,64.2,1400000US13067030502
5956,57.1,1400000US13067030504
6895,42.7,1400000US13067030505
4824,53.9,1400000US13067030506
4979,67.8,1400000US13067030507
9189,39.2,1400000US13067030601
6709,80.3,1400000US13067030602
4580,45,1400000US13067030700
6135,41.7,1400000US13067030800
8349,60.8,1400000US13067030901
6003,37.8,1400000US13067030902
7332,22.5,1400000US13067030904
8700,22.1,1400000US13067030905
5366,19.3,1400000US13067031001
9392,17,1400000US13067031002
8313,20.1,1400000US13067031004
5122,25,1400000US13067031005
6146,29.9,1400000US13067031101
8628,37.5,1400000US13067031106
5190,42.9,1400000US13067031108
3241,55.7,1400000US13067031110
3745,54.3,1400000US13067031111
